[Epoch 155] Train-acc: 0.985 | loss: 0.485 | Val-acc: 0.707 | time: 45.1 
[Epoch 156] Train-acc: 0.985 | loss: 0.526 | Val-acc: 0.756 | time: 44.5 
[Epoch 157] Train-acc: 0.964 | loss: 1.236 | Val-acc: 0.707 | time: 43.4 
[Epoch 158] Train-acc: 0.956 | loss: 0.802 | Val-acc: 0.756 | time: 42.6 
[Epoch 159] Train-acc: 0.985 | loss: 0.612 | Val-acc: 0.634 | time: 24.7 
[Epoch 160] Train-acc: 0.989 | loss: 0.294 | Val-acc: 0.756 | time: 14.8 
[Epoch 161] Train-acc: 0.978 | loss: 0.635 | Val-acc: 0.732 | time: 12.5 
[Epoch 162] Train-acc: 0.975 | loss: 0.622 | Val-acc: 0.829 | time: 45.0 0.8081596452328159
[Epoch 163] Train-acc: 0.989 | loss: 0.276 | Val-acc: 0.732 | time: 43.6 
[Epoch 164] Train-acc: 0.975 | loss: 0.674 | Val-acc: 0.878 | time: 45.3 0.8556984478935697
[Epoch 165] Train-acc: 0.993 | loss: 0.186 | Val-acc: 0.854 | time: 45.4 0.847450110864745
[Epoch 166] Train-acc: 0.989 | loss: 0.194 | Val-acc: 0.805 | time: 44.5 
[Epoch 167] Train-acc: 0.982 | loss: 0.331 | Val-acc: 0.756 | time: 45.7 
[Epoch 168] Train-acc: 0.993 | loss: 0.308 | Val-acc: 0.756 | time: 34.0 
[Epoch 169] Train-acc: 0.985 | loss: 0.548 | Val-acc: 0.683 | time: 11.1 
[Epoch 170] Train-acc: 0.989 | loss: 0.402 | Val-acc: 0.707 | time: 15.7 
[Epoch 171] Train-acc: 0.975 | loss: 0.528 | Val-acc: 0.780 | time: 43.4 
[Epoch 172] Train-acc: 0.956 | loss: 1.654 | Val-acc: 0.707 | time: 44.3 
[Epoch 173] Train-acc: 0.985 | loss: 1.037 | Val-acc: 0.780 | time: 44.8 
[Epoch 174] Train-acc: 0.982 | loss: 0.324 | Val-acc: 0.756 | time: 44.8 
[Epoch 175] Train-acc: 0.971 | loss: 0.743 | Val-acc: 0.707 | time: 42.8 
[Epoch 176] Train-acc: 0.985 | loss: 0.314 | Val-acc: 0.707 | time: 44.5 
[Epoch 177] Train-acc: 0.978 | loss: 0.547 | Val-acc: 0.732 | time: 32.6 
[Epoch 178] Train-acc: 0.971 | loss: 0.557 | Val-acc: 0.707 | time: 17.3 
[Epoch 179] Train-acc: 0.985 | loss: 0.350 | Val-acc: 0.756 | time: 14.5 
[Epoch 180] Train-acc: 0.982 | loss: 1.347 | Val-acc: 0.780 | time: 13.0 
[Epoch 181] Train-acc: 0.982 | loss: 0.550 | Val-acc: 0.732 | time: 43.6 
[Epoch 182] Train-acc: 0.993 | loss: 0.332 | Val-acc: 0.756 | time: 44.9 
[Epoch 183] Train-acc: 1.000 | loss: 0.129 | Val-acc: 0.780 | time: 43.7 
[Epoch 184] Train-acc: 0.982 | loss: 1.100 | Val-acc: 0.805 | time: 46.5 
[Epoch 185] Train-acc: 0.978 | loss: 1.012 | Val-acc: 0.780 | time: 44.6 
[Epoch 186] Train-acc: 0.985 | loss: 0.342 | Val-acc: 0.756 | time: 45.4 
[Epoch 187] Train-acc: 0.989 | loss: 0.319 | Val-acc: 0.732 | time: 33.5 
[Epoch 188] Train-acc: 0.945 | loss: 1.319 | Val-acc: 0.683 | time: 12.6 
[Epoch 189] Train-acc: 0.985 | loss: 0.887 | Val-acc: 0.780 | time: 14.9 
[Epoch 190] Train-acc: 0.975 | loss: 0.460 | Val-acc: 0.805 | time: 21.5 
[Epoch 191] Train-acc: 0.964 | loss: 1.062 | Val-acc: 0.829 | time: 44.5 
[Epoch 192] Train-acc: 0.982 | loss: 0.818 | Val-acc: 0.756 | time: 44.3 
[Epoch 193] Train-acc: 0.982 | loss: 0.550 | Val-acc: 0.780 | time: 44.2 
[Epoch 194] Train-acc: 0.971 | loss: 0.787 | Val-acc: 0.805 | time: 44.5 
[Epoch 195] Train-acc: 0.996 | loss: 0.168 | Val-acc: 0.732 | time: 45.6 
[Epoch 196] Train-acc: 0.982 | loss: 0.348 | Val-acc: 0.829 | time: 45.5 0.814190687361419
[Epoch 197] Train-acc: 0.982 | loss: 0.464 | Val-acc: 0.805 | time: 25.5 
[Epoch 198] Train-acc: 0.978 | loss: 0.353 | Val-acc: 0.780 | time: 12.5 
[Epoch 199] Train-acc: 0.975 | loss: 0.850 | Val-acc: 0.805 | time: 15.0 


[Epoch 0] Train=0.706 Val=0.825 Loss=4.552 Time=35.38 
[Epoch 1] Train=0.816 Val=0.750 Loss=3.252 Time=16.20 
[Epoch 2] Train=0.850 Val=0.775 Loss=3.024 Time=13.63 
[Epoch 3] Train=0.882 Val=0.725 Loss=2.694 Time=17.97 
[Epoch 4] Train=0.820 Val=0.775 Loss=3.126 Time=17.43 
